taluka_id,state,district,taluka,season,N,P,K,temperature,humidity,ph,rainfall
10,Maharashtra,Gadchiroli,Gadchiroli_Taluka_1,Rabi,84,45,48,26.75,54.49,6.57,916
10,Maharashtra,Gadchiroli,Gadchiroli_Taluka_1,Summer,87,39,47,28.05,56.72,6.62,781
11,Maharashtra,Gondiya,Gondiya_Taluka_1,Kharif,92,37,45,27.55,65.24,6.21,949
11,Maharashtra,Gondiya,Gondiya_Taluka_1,Rabi,92,45,39,29.7,64.53,6.31,873
11,Maharashtra,Gondiya,Gondiya_Taluka_1,Summer,93,45,41,28.12,56.9,6.17,869
12,Maharashtra,Hingoli,Hingoli_Taluka_1,Kharif,88,41,48,26.75,57.35,6.66,937
12,Maharashtra,Hingoli,Hingoli_Taluka_1,Rabi,86,40,45,27.62,64.65,6.78,842
12,Maharashtra,Hingoli,Hingoli_Taluka_1,Summer,91,40,43,28.68,60.97,6.4,946
13,Maharashtra,Jalgaon,Amlaner,Kharif,86,45,39,26.64,60.58,6.65,937
13,Maharashtra,Jalgaon,Amalner,Rabi,96,45,41,28.85,56.85,6.36,877
13,Maharashtra,Jalgaon,Amalner,Summer,91,44,44,28.88,57.7,6.53,916
14,Maharashtra,Jalna,Jalna_Taluka_1,Kharif,86,42,44,27.0,61.08,6.88,780
14,Maharashtra,Jalna,Jalna_Taluka_1,Rabi,89,44,48,27.74,58.2,6.62,840
14,Maharashtra,Jalna,Jalna_Taluka_1,Summer,84,41,40,28.29,63.22,6.13,901
15,Maharashtra,Kolhapur,Kolhapur_Taluka_1,Kharif,95,41,43,27.48,54.19,6.84,970
15,Maharashtra,Kolhapur,Kolhapur_Taluka_1,Rabi,88,39,38,26.3,57.67,6.25,890
15,Maharashtra,Kolhapur,Kolhapur_Taluka_1,Summer,86,38,46,27.58,64.13,6.84,903
16,Maharashtra,Latur,Latur_Taluka_1,Kharif,91,38,43,27.43,57.05,6.34,947
16,Maharashtra,Latur,Latur_Taluka_1,Rabi,84,44,38,26.55,62.51,6.54,899
16,Maharashtra,Latur,Latur_Taluka_1,Summer,90,46,40,27.02,61.34,6.17,864
17,Maharashtra,MAHARASHTRA,MAHARASHTRA_Taluka_1,Kharif,92,40,41,28.6,62.42,6.74,933
17,Maharashtra,MAHARASHTRA,MAHARASHTRA_Taluka_1,Rabi,86,43,39,26.38,60.94,6.13,882
17,Maharashtra,MAHARASHTRA,MAHARASHTRA_Taluka_1,Summer,93,42,47,29.44,57.0,6.13,744
18,Maharashtra,Mumbai,Mumbai_Taluka_1,Kharif,89,47,42,28.09,63.24,6.27,734
18,Maharashtra,Mumbai,Mumbai_Taluka_1,Rabi,90,40,43,26.21,60.38,6.53,784
18,Maharashtra,Mumbai,Mumbai_Taluka_1,Summer,91,40,39,28.07,57.88,6.74,792
19,Maharashtra,Mumbai Suburban,Mumbai Suburban_Taluka_1,Kharif,86,46,44,27.0,56.21,6.16,856
19,Maharashtra,Mumbai Suburban,Mumbai Suburban_Taluka_1,Rabi,92,41,38,26.69,55.88,6.3,855
19,Maharashtra,Mumbai Suburban,Mumbai Suburban_Taluka_1,Summer,89,45,45,29.74,61.66,6.51,921
20,Maharashtra,Nagpur,Nagpur_Taluka_1,Kharif,88,42,44,26.19,60.79,6.23,815
20,Maharashtra,Nagpur,Nagpur_Taluka_1,Rabi,92,41,38,27.25,65.75,6.24,873
20,Maharashtra,Nagpur,Nagpur_Taluka_1,Summer,93,46,42,27.89,56.08,6.45,752
21,Maharashtra,Nanded,Nanded_Taluka_1,Kharif,93,46,43,28.54,54.54,6.4,876
21,Maharashtra,Nanded,Nanded_Taluka_1,Rabi,93,37,45,28.63,55.96,6.16,731
21,Maharashtra,Nanded,Nanded_Taluka_1,Summer,84,47,41,28.3,58.66,6.61,890
22,Maharashtra,Nandurbar,Nandurbar_Taluka_1,Kharif,96,39,48,29.77,58.63,6.87,803
22,Maharashtra,Nandurbar,Nandurbar_Taluka_1,Rabi,94,38,40,28.47,58.04,6.62,822
22,Maharashtra,Nandurbar,Nandurbar_Taluka_1,Summer,93,46,47,27.36,57.13,6.5,787
23,Maharashtra,Nashik,Nashik_Taluka_1,Kharif,88,38,48,29.51,62.82,6.74,893
23,Maharashtra,Nashik,Nashik_Taluka_1,Rabi,93,41,46,28.27,60.91,6.69,765
23,Maharashtra,Nashik,Nashik_Taluka_1,Summer,85,37,44,28.32,64.41,6.55,741
24,Maharashtra,Osmanabad,Osmanabad_Taluka_1,Kharif,84,43,44,29.02,55.24,6.82,791
24,Maharashtra,Osmanabad,Osmanabad_Taluka_1,Rabi,87,45,43,27.19,55.2,6.14,918
24,Maharashtra,Osmanabad,Osmanabad_Taluka_1,Summer,92,39,46,27.28,65.4,6.86,812
25,Maharashtra,Parbhani,Parbhani_Taluka_1,Kharif,93,41,42,27.17,57.94,6.64,957
25,Maharashtra,Parbhani,Parbhani_Taluka_1,Rabi,88,43,46,26.45,65.17,6.88,871
25,Maharashtra,Parbhani,Parbhani_Taluka_1,Summer,93,41,40,29.55,58.21,6.19,805
26,Maharashtra,Pune,Pune_Taluka_1,Kharif,92,46,47,28.47,55.21,6.17,870
26,Maharashtra,Pune,Pune_Taluka_1,Rabi,91,46,46,29.29,62.47,6.17,894
26,Maharashtra,Pune,Pune_Taluka_1,Summer,89,39,45,27.5,58.45,6.75,800
27,Maharashtra,Raigarh,Raigarh_Taluka_1,Kharif,92,40,41,27.51,55.0,6.72,911
27,Maharashtra,Raigarh,Raigarh_Taluka_1,Rabi,90,47,47,29.63,55.33,6.49,870
27,Maharashtra,Raigarh,Raigarh_Taluka_1,Summer,85,46,41,26.48,55.41,6.62,730
28,Maharashtra,Ratnagiri,Ratnagiri_Taluka_1,Kharif,86,45,38,26.33,60.34,6.45,787
28,Maharashtra,Ratnagiri,Ratnagiri_Taluka_1,Rabi,95,41,43,29.7,65.03,6.3,876
28,Maharashtra,Ratnagiri,Ratnagiri_Taluka_1,Summer,87,45,39,26.66,56.6,6.34,730
29,Maharashtra,Sangli,Sangli_Taluka_1,Kharif,88,42,43,27.54,62.85,6.83,803
29,Maharashtra,Sangli,Sangli_Taluka_1,Rabi,91,42,45,28.48,57.33,6.25,819
29,Maharashtra,Sangli,Sangli_Taluka_1,Summer,91,46,39,27.06,58.32,6.31,884
30,Maharashtra,Satara,Satara_Taluka_1,Kharif,89,37,46,27.24,63.77,6.65,886
30,Maharashtra,Satara,Satara_Taluka_1,Rabi,96,39,43,29.8,62.71,6.59,923
30,Maharashtra,Satara,Satara_Taluka_1,Summer,93,44,39,28.21,55.98,6.43,847
31,Maharashtra,Sindhudurg,Sindhudurg_Taluka_1,Kharif,84,38,38,27.51,62.99,6.41,788
31,Maharashtra,Sindhudurg,Sindhudurg_Taluka_1,Rabi,94,37,38,27.87,58.98,6.32,969
31,Maharashtra,Sindhudurg,Sindhudurg_Taluka_1,Summer,90,42,38,28.14,63.0,6.83,752
32,Maharashtra,Solapur,Solapur_Taluka_1,Kharif,88,41,42,29.03,58.53,6.29,930
32,Maharashtra,Solapur,Solapur_Taluka_1,Rabi,84,39,41,26.91,62.06,6.59,821
32,Maharashtra,Solapur,Solapur_Taluka_1,Summer,91,43,47,27.99,59.71,6.77,779
33,Maharashtra,Thane,Thane_Taluka_1,Kharif,95,37,43,29.87,55.06,6.73,874
33,Maharashtra,Thane,Thane_Taluka_1,Rabi,90,41,42,28.56,63.66,6.82,921
33,Maharashtra,Thane,Thane_Taluka_1,Summer,95,38,43,28.43,61.64,6.54,908
34,Maharashtra,Wardha,Wardha_Taluka_1,Kharif,85,40,46,28.06,63.4,6.42,835
34,Maharashtra,Wardha,Wardha_Taluka_1,Rabi,86,37,42,29.19,59.51,6.77,746
34,Maharashtra,Wardha,Wardha_Taluka_1,Summer,95,40,45,26.18,61.45,6.38,855
35,Maharashtra,Washim,Washim_Taluka_1,Kharif,94,47,48,26.3,55.55,6.2,824
35,Maharashtra,Washim,Washim_Taluka_1,Rabi,94,42,45,26.72,62.36,6.43,825
35,Maharashtra,Washim,Washim_Taluka_1,Summer,86,47,39,28.41,56.69,6.76,939
36,Maharashtra,Yavatmal,Yavatmal_Taluka_1,Kharif,95,46,43,26.35,55.45,6.47,819
36,Maharashtra,Yavatmal,Yavatmal_Taluka_1,Rabi,85,37,47,28.76,54.47,6.74,850
36,Maharashtra,Yavatmal,Yavatmal_Taluka_1,Summer,89,44,48,29.68,54.73,6.32,730
