state,district,season,N,P,K,temperature,humidity,ph,rainfall
Maharashtra,Nandurbar,Summer,93.0,46.0,47.0,27.36,57.13,6.5,787.0
Maharashtra,Nashik,Kharif,88.0,38.0,48.0,29.51,62.82,6.74,893.0
Maharashtra,Nashik,Rabi,93.0,41.0,46.0,28.27,60.91,6.69,765.0
Maharashtra,Nashik,Summer,85.0,37.0,44.0,28.32,64.41,6.55,741.0
Maharashtra,Osmanabad,Kharif,84.0,43.0,44.0,29.02,55.24,6.82,791.0
Maharashtra,Osmanabad,Rabi,87.0,45.0,43.0,27.19,55.2,6.14,918.0
Maharashtra,Osmanabad,Summer,92.0,39.0,46.0,27.28,65.4,6.86,812.0
Maharashtra,Parbhani,Kharif,93.0,41.0,42.0,27.17,57.94,6.64,957.0
Maharashtra,Parbhani,Rabi,88.0,43.0,46.0,26.45,65.17,6.88,871.0
Maharashtra,Parbhani,Summer,93.0,41.0,40.0,29.55,58.21,6.19,805.0
Maharashtra,Pune,Kharif,92.0,46.0,47.0,28.47,55.21,6.17,870.0
Maharashtra,Pune,Rabi,91.0,46.0,46.0,29.29,62.47,6.17,894.0
Maharashtra,Pune,Summer,89.0,39.0,45.0,27.5,58.45,6.75,800.0
Maharashtra,Raigarh,Kharif,92.0,40.0,41.0,27.51,55.0,6.72,911.0
Maharashtra,Raigarh,Rabi,90.0,47.0,47.0,29.63,55.33,6.49,870.0
Maharashtra,Raigarh,Summer,85.0,46.0,41.0,26.48,55.41,6.62,730.0
Maharashtra,Ratnagiri,Kharif,86.0,45.0,38.0,26.33,60.34,6.45,787.0
Maharashtra,Ratnagiri,Rabi,95.0,41.0,43.0,29.7,65.03,6.3,876.0
Maharashtra,Ratnagiri,Summer,87.0,45.0,39.0,26.66,56.6,6.34,730.0
Maharashtra,Sangli,Kharif,88.0,42.0,43.0,27.54,62.85,6.83,803.0
Maharashtra,Sangli,Rabi,91.0,42.0,45.0,28.48,57.33,6.25,819.0
Maharashtra,Sangli,Summer,91.0,46.0,39.0,27.06,58.32,6.31,884.0
Maharashtra,Satara,Kharif,89.0,37.0,46.0,27.24,63.77,6.65,886.0
Maharashtra,Satara,Rabi,96.0,39.0,43.0,29.8,62.71,6.59,923.0
Maharashtra,Satara,Summer,93.0,44.0,39.0,28.21,55.98,6.43,847.0
Maharashtra,Sindhudurg,Kharif,84.0,38.0,38.0,27.51,62.99,6.41,788.0
Maharashtra,Sindhudurg,Rabi,94.0,37.0,38.0,27.87,58.98,6.32,969.0
Maharashtra,Sindhudurg,Summer,90.0,42.0,38.0,28.14,63.0,6.83,752.0
Maharashtra,Solapur,Kharif,88.0,41.0,42.0,29.03,58.53,6.29,930.0
Maharashtra,Solapur,Rabi,84.0,39.0,41.0,26.91,62.06,6.59,821.0
Maharashtra,Solapur,Summer,91.0,43.0,47.0,27.99,59.71,6.77,779.0
Maharashtra,Thane,Kharif,95.0,37.0,43.0,29.87,55.06,6.73,874.0
Maharashtra,Thane,Rabi,90.0,41.0,42.0,28.56,63.66,6.82,921.0
Maharashtra,Thane,Summer,95.0,38.0,43.0,28.43,61.64,6.54,908.0
Maharashtra,Wardha,Kharif,85.0,40.0,46.0,28.06,63.4,6.42,835.0
Maharashtra,Wardha,Rabi,86.0,37.0,42.0,29.19,59.51,6.77,746.0
Maharashtra,Wardha,Summer,95.0,40.0,45.0,26.18,61.45,6.38,855.0
Maharashtra,Washim,Kharif,94.0,47.0,48.0,26.3,55.55,6.2,824.0
Maharashtra,Washim,Rabi,94.0,42.0,45.0,26.72,62.36,6.43,825.0
Maharashtra,Washim,Summer,86.0,47.0,39.0,28.41,56.69,6.76,939.0
Maharashtra,Yavatmal,Kharif,95.0,46.0,43.0,26.35,55.45,6.47,819.0
Maharashtra,Yavatmal,Rabi,85.0,37.0,47.0,28.76,54.47,6.74,850.0
Maharashtra,Yavatmal,Summer,89.0,44.0,48.0,29.68,54.73,6.32,730.0
