region,season,N,P,K,temperature,humidity,ph,rainfall,label,avg_price,yield_per_hectare
Maharashtra,Rabi,83,43,42,21.697267514609322,48.87781005470736,6.828756410612996,291,mango,40,9000
Maharashtra,Rabi,85,41,43,21.789284778859965,51.905737344611175,6.432690360545701,438,grapes,50,22000
Maharashtra,Rabi,86,44,39,22.868881889017572,48.82796863111144,6.5390179779966,283,watermelon,15,25000
Maharashtra,Rabi,83,40,41,21.523306056752688,50.63583788885005,6.717082024992718,385,muskmelon,18,20000
Maharashtra,Rabi,81,41,36,22.67104726759725,47.89160056591705,6.509512129359994,288,apple,60,12000
Maharashtra,Rabi,85,41,39,22.95487674316673,51.80295825054287,6.6760295943763746,401,orange,25,15000
Maharashtra,Rabi,81,36,40,22.90099192538242,51.46077339585337,6.7576454846382905,447,papaya,12,40000
Maharashtra,Rabi,89,43,40,23.088542144449114,51.60579397785611,6.752177602147626,359,coconut,35,12000
Maharashtra,Rabi,80,41,37,20.846967088311263,46.695052551746684,6.39486654888049,405,cotton,75,1500
Maharashtra,Rabi,90,36,41,20.688171018545994,46.31154811575764,6.5577873648670435,308,jute,45,2200
Maharashtra,Rabi,86,40,36,22.50198757968852,50.99079664877319,6.865479614113982,381,coffee,120,800
Maharashtra,Summer,75,39,34,34.37434206548863,57.00661473709478,6.281440224734123,68,rice,22,2600
Maharashtra,Summer,85,36,41,32.19180313237547,52.00633908439887,6.244499466291356,61,maize,20,3000
Maharashtra,Summer,82,35,34,33.45492082529628,56.17590056397433,6.573512539773807,164,chickpea,50,900
Maharashtra,Summer,78,40,40,34.26452137708361,56.377976241259894,6.207891681913853,244,kidneybeans,60,1200
Maharashtra,Summer,75,41,35,32.52978787730755,56.502693625570785,6.599473442640672,135,pigeonpeas,55,1100
Maharashtra,Summer,75,41,34,31.824514479494255,52.93878804132832,6.620022854300105,207,mothbeans,45,700
Maharashtra,Summer,82,35,40,32.38967577674963,50.807250672563,6.405283923590125,200,mungbean,70,850
Maharashtra,Summer,85,37,41,33.819338372580326,56.076879708854605,6.500758550549486,53,blackgram,60,800
Maharashtra,Summer,75,41,41,31.950242452339047,54.33554598801716,6.75528032706514,200,lentil,54,950
Maharashtra,Summer,83,42,41,33.692180968986925,57.37964248942174,6.540248205343673,243,pomegranate,80,18000
Maharashtra,Summer,77,42,38,33.329825616085564,54.45313228946508,6.265971788203277,219,banana,10,30000
Maharashtra,Summer,78,39,36,31.50998341513066,56.95301909533919,6.653037409560816,125,mango,40,9000
Maharashtra,Summer,84,40,36,33.93488447151293,53.803567701173094,6.409580008023808,140,grapes,50,22000
Maharashtra,Summer,83,40,39,32.28508000216151,50.37348042536297,6.491024587922997,227,watermelon,15,25000
Maharashtra,Summer,84,40,36,34.33324545374454,57.18130789801385,6.511879250718979,79,muskmelon,18,20000
Maharashtra,Summer,78,39,42,33.876797333123726,54.21442151700116,6.224436312624103,101,apple,60,12000
Maharashtra,Summer,77,42,39,34.28247004943594,51.584239828681085,6.733949392567783,176,orange,25,15000
Maharashtra,Summer,82,34,42,33.38413389386017,56.92257479322264,6.382974406833108,61,papaya,12,40000
Maharashtra,Summer,78,40,41,31.98651392048609,56.619587232635006,6.334845224209093,97,coconut,35,12000
Maharashtra,Summer,78,37,34,31.670216677143124,53.3029594580262,6.237838398769454,232,cotton,75,1500
Maharashtra,Summer,82,34,34,32.971792541069334,57.5860617650426,6.514676221435009,91,jute,45,2200
Maharashtra,Summer,85,42,36,33.404639617102944,53.16114471632866,6.758851331465325,190,coffee,120,800
Punjab,Kharif,93,43,35,30.415709177411216,60.21687381951604,7.022546805142676,712,rice,22,2600
Punjab,Kharif,93,38,38,30.504995252294698,62.954912347479144,7.200878268748177,709,maize,20,3000
Punjab,Kharif,90,40,35,28.555706245809045,66.1030355401371,7.196797511715562,672,chickpea,50,900
Punjab,Kharif,93,41,41,28.65307633053882,66.29182685136261,7.136125728211242,669,kidneybeans,60,1200
Punjab,Kharif,91,40,38,28.601392021424644,66.19282939600606,7.166248232782387,671,pigeonpeas,55,1100
Punjab,Kharif,100,38,39,31.352832182788525,69.76283746155764,7.280387394578044,657,mothbeans,45,700
Punjab,Kharif,97,41,36,30.950248705200824,62.92677285804163,7.149459857128478,754,mungbean,70,850
Punjab,Kharif,93,43,34,29.306849349801947,66.13923696050865,7.042700191015934,709,blackgram,60,800
Punjab,Kharif,98,37,34,31.47609150581745,62.11315873599698,6.982242189953902,691,lentil,54,950
Punjab,Kharif,92,36,38,28.793253496425994,67.12401799479262,7.29249705901936,711,pomegranate,80,18000
Punjab,Kharif,93,37,37,29.39240098001227,62.80798182520465,6.816218202967183,644,banana,10,30000
Punjab,Kharif,100,38,34,29.505062533937423,62.073720538287425,6.77110699166296,751,mango,40,9000
Punjab,Kharif,92,42,40,28.740478252881303,69.4857932315665,6.940176366070273,778,grapes,50,22000
Punjab,Kharif,99,41,36,30.192131936407822,62.46391303861228,7.15117336895592,617,watermelon,15,25000
Punjab,Kharif,95,41,39,30.182977310196257,62.62926847645175,7.1801475159341495,662,muskmelon,18,20000
Punjab,Kharif,90,40,39,30.19281125454126,61.57702355930612,6.925636065657689,664,apple,60,12000
Punjab,Kharif,91,44,38,28.951705207500932,69.73727333988343,6.809357422107248,664,orange,25,15000
Punjab,Kharif,92,44,37,31.169997043199526,64.25163462449683,6.912298224834619,604,papaya,12,40000
Punjab,Kharif,95,41,34,30.42202336689587,69.2882782520306,7.1238073434451366,755,coconut,35,12000
Punjab,Kharif,99,41,37,29.365285935130128,62.14676771026084,6.770810632976258,643,cotton,75,1500
Punjab,Kharif,100,44,34,31.243253527483766,60.56609608365045,7.254493273872187,794,jute,45,2200
Punjab,Kharif,92,39,37,30.02558102054509,61.53748607475655,6.719285831313715,651,coffee,120,800
Punjab,Rabi,124,44,40,25.61289838002269,70.0517703233896,6.761063950495542,558,rice,22,2600
Punjab,Rabi,123,42,41,26.07007335285927,72.17990282418788,7.256003451495946,562,maize,20,3000
Punjab,Rabi,123,43,38,24.0419165955637,71.19727391101227,6.768000711089532,502,chickpea,50,900
Punjab,Rabi,115,49,43,24.814869619372757,72.95842082652949,6.961962144148174,652,kidneybeans,60,1200
Punjab,Rabi,122,48,41,26.213237152357408,67.61995366039709,7.012442490234817,671,pigeonpeas,55,1100
Punjab,Rabi,115,47,42,24.1692077243196,74.88263615564176,6.896763526837605,618,mothbeans,45,700
Punjab,Rabi,125,47,44,24.136740028564923,71.319073571053,7.047796705978939,662,mungbean,70,850
Punjab,Rabi,116,42,42,23.96323993391021,73.72851654971592,7.094370972065128,523,blackgram,60,800
Punjab,Rabi,115,43,42,26.41552109886269,71.4428215566296,7.269693024014505,663,lentil,54,950
Punjab,Rabi,124,42,36,26.12416697387267,68.44923951603093,6.886660627193666,605,pomegranate,80,18000
Punjab,Rabi,122,43,36,24.969533378470295,65.86915461842803,7.200175376392009,579,banana,10,30000
Punjab,Rabi,117,42,37,23.840865662467934,70.76769255698059,7.216675811157903,607,mango,40,9000
Punjab,Rabi,120,44,36,24.545383518010606,70.77716039241135,6.8790683100805365,680,grapes,50,22000
Punjab,Rabi,120,45,36,26.32103520047518,71.32547651040313,6.900663896571134,502,watermelon,15,25000
Punjab,Rabi,122,44,39,25.149012663671368,67.77377029046309,6.9469654078159895,655,muskmelon,18,20000
Punjab,Rabi,120,42,38,25.21823907001179,66.66263184659861,7.294956651056436,603,apple,60,12000
Punjab,Rabi,124,47,36,25.14499108266021,70.12828119169484,7.146064492715659,621,orange,25,15000
Punjab,Rabi,125,47,36,25.071735034910866,73.5217003079862,6.744113514002789,616,papaya,12,40000
Punjab,Rabi,117,43,37,24.813052792656926,66.85317170561028,7.239578471041909,558,coconut,35,12000
Punjab,Rabi,120,48,37,25.974807972812815,69.31941109222852,6.811089859280453,649,cotton,75,1500
Punjab,Rabi,116,46,41,25.64426154774579,71.26782121880464,7.166027335080124,542,jute,45,2200
Punjab,Rabi,125,43,36,26.167351220747076,71.3562163304052,6.903764901987828,585,coffee,120,800
Punjab,Summer,91,34,35,32.99656853517431,64.12937913797285,7.05794973951446,121,rice,22,2600
Punjab,Summer,95,35,31,33.59367291532582,62.842133226254944,7.198412109113819,258,maize,20,3000
Punjab,Summer,86,35,35,34.32331653731306,58.56982031231323,7.287917396245962,242,chickpea,50,900
Punjab,Summer,94,37,35,33.3337242145257,62.02981856767797,6.920952086032458,179,kidneybeans,60,1200
Punjab,Summer,93,34,35,33.75796473993411,58.19422959594055,6.902498161133511,114,pigeonpeas,55,1100
Punjab,Summer,95,39,31,32.537928436967384,59.72992254694528,6.879092594483759,200,mothbeans,45,700
Punjab,Summer,93,42,35,34.58853899579257,61.54825952654588,7.2085773709171805,282,mungbean,70,850
Punjab,Summer,90,38,36,35.22000335179968,59.590141201418106,6.896740032169133,230,blackgram,60,800
Punjab,Summer,91,37,31,34.1159098362197,60.049642999503746,6.9527355300432125,142,lentil,54,950
Punjab,Summer,85,42,31,35.4531496546747,58.10695605097292,7.201421738829652,242,pomegranate,80,18000
Punjab,Summer,90,34,39,34.0719036435739,56.0665694878873,7.192015153798845,105,banana,10,30000
Punjab,Summer,87,37,32,32.81165557292688,56.00653948558575,7.009084746393538,264,mango,40,9000
Punjab,Summer,95,34,38,33.03316700067176,56.487425332886914,7.066520817398067,159,grapes,50,22000
Punjab,Summer,89,38,34,34.058313111320935,58.77679528726836,7.059109378340064,284,watermelon,15,25000
Punjab,Summer,95,38,36,35.43627399914433,57.78806453087131,6.9324724268776095,201,muskmelon,18,20000
Punjab,Summer,95,42,36,33.34241504426215,61.63591621626033,7.028451517903948,177,apple,60,12000
Punjab,Summer,92,36,32,35.08366971723256,63.92866166277369,7.2513428667914965,130,orange,25,15000
Punjab,Summer,89,41,33,33.19029973138417,62.56534757586677,7.1749279240108015,136,papaya,12,40000
Punjab,Summer,92,40,39,33.394180939005714,58.58399705522948,7.050570935140674,216,coconut,35,12000
Punjab,Summer,93,41,39,33.553202187968004,64.53614823532038,7.214322700689395,286,cotton,75,1500
Punjab,Summer,95,41,31,33.94897844591971,62.158274668059875,6.857779528288727,245,jute,45,2200
Punjab,Summer,95,42,34,33.817053807001955,63.861959446086914,7.097562495531805,281,coffee,120,800
Tamil Nadu,Kharif,86,44,42,28.603125536819576,79.39984512646694,6.504074874749934,846,rice,22,2600
Tamil Nadu,Kharif,86,37,44,28.806288629642467,77.23960493060204,6.956990950367801,977,maize,20,3000
Tamil Nadu,Kharif,84,42,44,29.351170780507932,80.28684655905441,6.981561873171094,885,chickpea,50,900
Tamil Nadu,Kharif,84,40,41,30.377547218108642,76.0771419435808,6.5185608475489625,860,kidneybeans,60,1200
Tamil Nadu,Kharif,90,43,45,29.268799364302083,79.57693471413094,6.529646576581157,933,pigeonpeas,55,1100
Tamil Nadu,Kharif,93,38,46,29.51958199408851,76.02836669158414,7.0714148399361365,941,mothbeans,45,700
Tamil Nadu,Kharif,87,37,43,29.880457620043334,80.75768383896977,6.602997587094063,872,mungbean,70,850
Tamil Nadu,Kharif,84,36,42,30.502667881720335,78.00370767135526,6.939041093007573,958,blackgram,60,800
Tamil Nadu,Kharif,88,37,42,28.85300765658153,77.52915527216052,6.922588957281831,804,lentil,54,950
Tamil Nadu,Kharif,91,43,40,30.545542008914932,75.95557095623984,6.828310156567369,845,pomegranate,80,18000
Tamil Nadu,Kharif,85,36,41,29.956842822204575,73.46576718812594,6.817233417110859,1000,banana,10,30000
Tamil Nadu,Kharif,88,37,46,29.21993526030795,76.08386310431948,6.7383531391385185,878,mango,40,9000
Tamil Nadu,Kharif,85,44,46,29.46327178047965,73.19522066578479,6.5408479949162235,923,grapes,50,22000
Tamil Nadu,Kharif,83,39,42,31.295786389855706,80.85033954048603,6.911198980094691,977,watermelon,15,25000
Tamil Nadu,Kharif,83,42,43,29.909298188590203,73.36405327571757,7.022123715141604,957,muskmelon,18,20000
Tamil Nadu,Kharif,85,42,46,31.005050742013218,76.88224064033287,6.523702542161744,884,apple,60,12000
Tamil Nadu,Kharif,93,39,43,30.40534785963579,80.55771092958453,6.944648250020951,906,orange,25,15000
Tamil Nadu,Kharif,83,41,45,28.792727041414096,74.14709891421586,7.044723955511254,946,papaya,12,40000
Tamil Nadu,Kharif,84,37,41,28.72822005039908,78.11135698839806,6.855381594926733,804,coconut,35,12000
Tamil Nadu,Kharif,85,38,43,29.29931546521772,75.98773967461024,6.6532900955494965,806,cotton,75,1500
Tamil Nadu,Kharif,90,43,41,28.979796218381864,76.05127421977024,6.864230754148483,901,jute,45,2200
Tamil Nadu,Kharif,84,43,45,31.106587367925943,80.11885218237063,7.023809966764721,902,coffee,120,800
Tamil Nadu,Rabi,80,40,39,24.712932992307806,70.20285611694234,6.72758574277109,571,rice,22,2600
Tamil Nadu,Rabi,81,34,42,26.007155970253134,67.75992545372094,7.154636576544073,475,maize,20,3000
Tamil Nadu,Rabi,77,35,37,25.68354959506264,66.17907700116868,7.183870435020005,569,chickpea,50,900
Tamil Nadu,Rabi,75,42,36,25.666517174632688,73.9904843320922,6.8321068957262785,598,kidneybeans,60,1200
Tamil Nadu,Rabi,76,37,39,23.587779881918376,71.6827631505985,6.7184928075865065,443,pigeonpeas,55,1100
Tamil Nadu,Rabi,81,35,42,24.65344741873333,68.39030942685974,7.13766388818055,438,mothbeans,45,700
Tamil Nadu,Rabi,82,34,35,25.434192288090877,74.28210692923771,7.100558946738502,568,mungbean,70,850
Tamil Nadu,Rabi,76,35,38,25.35075184920497,68.7414035439686,6.655543864639664,511,blackgram,60,800
Tamil Nadu,Rabi,75,38,43,24.56714802831786,71.74972294276019,6.7713662244887205,593,lentil,54,950
Tamil Nadu,Rabi,79,38,38,23.816027942954538,70.71669295945654,6.627425060433911,485,pomegranate,80,18000
Tamil Nadu,Rabi,83,34,43,26.48288538164403,72.20874180015997,6.659908756754924,410,banana,10,30000
Tamil Nadu,Rabi,84,39,41,26.295099608932752,65.15439673764035,6.715225824568288,585,mango,40,9000
Tamil Nadu,Rabi,79,36,35,24.030483223515272,66.85396058427206,7.076407656413165,575,grapes,50,22000
Tamil Nadu,Rabi,76,40,43,24.711575293235914,74.44563534130857,7.1282476338616965,547,watermelon,15,25000
Tamil Nadu,Rabi,78,34,35,26.179416396454297,67.66800224142811,6.971015508834734,469,muskmelon,18,20000
Tamil Nadu,Rabi,82,38,35,25.20735118824468,72.53077644219786,7.068252749603805,463,apple,60,12000
Tamil Nadu,Rabi,78,36,36,25.78993962794775,66.58336721185489,6.722536303817076,531,orange,25,15000
Tamil Nadu,Rabi,80,41,40,26.215432431024713,68.03881244653412,6.729672071386184,488,papaya,12,40000
Tamil Nadu,Rabi,77,36,36,25.61841701732672,68.25942169880922,6.766392029005093,541,coconut,35,12000
Tamil Nadu,Rabi,81,38,41,26.21132026693371,67.40835475189023,6.953190439219069,499,cotton,75,1500
Tamil Nadu,Rabi,81,41,37,25.234455026915796,65.11457861042423,6.645011129101489,484,jute,45,2200
Tamil Nadu,Rabi,78,37,42,24.7296701398358,68.05232681829685,7.016124780259341,567,coffee,120,800
Tamil Nadu,Summer,83,34,40,29.563771200166233,71.73692709455612,6.858272630499849,1047,rice,22,2600
Tamil Nadu,Summer,84,38,38,32.02804687512578,78.01493682340282,6.613700470966073,867,maize,20,3000
Tamil Nadu,Summer,85,40,39,32.294784081969794,71.6091644853081,6.666874097346001,850,chickpea,50,900
Tamil Nadu,Summer,80,37,36,29.641168109995583,72.40738136060841,7.036074798879183,984,kidneybeans,60,1200
Tamil Nadu,Summer,83,35,44,30.87636583217393,76.79272572374232,7.05535118369093,940,pigeonpeas,55,1100
Tamil Nadu,Summer,88,35,40,30.920358811860137,77.04130584149453,7.068833585344136,863,mothbeans,45,700
Tamil Nadu,Summer,90,34,39,32.4385169929129,70.45908084836917,6.686115445013345,1048,mungbean,70,850
Tamil Nadu,Summer,87,39,38,29.87588240257318,74.18579263617849,6.998818599158942,998,blackgram,60,800
Tamil Nadu,Summer,85,38,42,31.007685444486885,71.8513639534032,6.593347289014544,973,lentil,54,950
Tamil Nadu,Summer,80,37,37,31.253388284886405,73.4920522012252,6.858319811316535,938,pomegranate,80,18000
Tamil Nadu,Summer,85,39,43,29.61709353357396,74.13734126191692,7.083744862584013,994,banana,10,30000
Tamil Nadu,Summer,86,34,37,31.010923263156197,71.14981828424933,6.632165843496098,974,mango,40,9000
Tamil Nadu,Summer,83,40,39,31.953572968615198,79.29829049153005,6.955575429661209,851,grapes,50,22000
Tamil Nadu,Summer,90,35,36,30.761071581553676,76.6330543586962,6.641301056156342,971,watermelon,15,25000
Tamil Nadu,Summer,87,41,42,30.203246484686172,76.55185115286848,7.053762084148422,898,muskmelon,18,20000
Tamil Nadu,Summer,89,35,42,29.853262254759333,78.82094018087761,6.952998120948077,1032,apple,60,12000
Tamil Nadu,Summer,87,37,41,31.915121816884,73.42712550314182,6.864837015257106,971,orange,25,15000
Tamil Nadu,Summer,87,36,43,31.97063821472938,76.03366834777778,6.563466843181565,1039,papaya,12,40000
Tamil Nadu,Summer,82,37,38,31.204845826756593,74.07946646973473,6.914631439640653,943,coconut,35,12000
Tamil Nadu,Summer,87,40,43,31.574667013682184,76.86033360071802,6.792788255795776,897,cotton,75,1500
Tamil Nadu,Summer,90,34,37,29.63468259498032,73.29073213623055,6.74083666981569,912,jute,45,2200
Tamil Nadu,Summer,81,35,37,31.796574169468833,79.24899818426198,6.748842899522858,874,coffee,120,800
Karnataka,Kharif,100,39,43,28.887168692611713,62.278291258095926,6.651984356202315,787,rice,22,2600
Karnataka,Kharif,96,36,40,30.3270212224679,60.42762782287896,6.667547258499279,804,maize,20,3000
Karnataka,Kharif,95,39,45,27.678207899530143,62.454880870703775,6.568248729273364,783,chickpea,50,900
Karnataka,Kharif,97,44,44,29.391877523365984,65.20596477576328,6.834632605719006,742,kidneybeans,60,1200
Karnataka,Kharif,93,43,39,29.93055386978032,60.23474253544268,6.777400869702211,777,pigeonpeas,55,1100
Karnataka,Kharif,91,38,38,29.743309540466456,63.05645441496806,6.440528529754496,884,mothbeans,45,700
Karnataka,Kharif,99,41,41,28.372490857573915,68.8421521942136,6.798831090142107,727,mungbean,70,850
Karnataka,Kharif,96,40,40,30.099390005683027,66.12972504410743,6.637442844194881,895,blackgram,60,800
Karnataka,Kharif,99,41,41,28.751541634722138,69.17697634132608,6.347366052096183,857,lentil,54,950
Karnataka,Kharif,98,37,38,30.317491059621645,60.49036471172355,6.330518607157647,822,pomegranate,80,18000
Karnataka,Kharif,91,37,40,27.695311128817877,68.64799508238896,6.6027900408732885,822,banana,10,30000
Karnataka,Kharif,94,43,41,29.00136001357906,66.04352148200951,6.687692021902243,833,mango,40,9000
Karnataka,Kharif,93,43,41,29.112619636000325,64.87066853524577,6.866786490413831,853,grapes,50,22000
Karnataka,Kharif,99,40,45,29.340069795563384,66.7381938828612,6.33561565419369,870,watermelon,15,25000
Karnataka,Kharif,99,37,43,30.036228562968354,62.1762682558208,6.329238878018603,852,muskmelon,18,20000
Karnataka,Kharif,97,37,41,28.563246260534072,64.80258309859933,6.6828988417846515,822,apple,60,12000
Karnataka,Kharif,90,38,40,29.60326535695133,62.296435144380766,6.889530531122672,703,orange,25,15000
Karnataka,Kharif,92,42,45,29.4223915983628,60.924338465320936,6.7570614389796475,842,papaya,12,40000
Karnataka,Kharif,92,40,39,29.92271857582402,62.32840414760618,6.604178228772906,872,coconut,35,12000
Karnataka,Kharif,90,40,40,29.872790543672846,64.88989092150834,6.765780116413125,737,cotton,75,1500
Karnataka,Kharif,92,43,41,29.577120473459637,66.48925147283444,6.802246275690311,726,jute,45,2200
Karnataka,Kharif,94,43,44,30.274314013108192,67.55571593008165,6.621155857838312,711,coffee,120,800
Karnataka,Rabi,84,39,39,24.893816670108098,56.391539466840584,6.569627668620295,485,rice,22,2600
Karnataka,Rabi,89,35,40,23.76239158184137,58.45055954625866,6.797181902029574,532,maize,20,3000
Karnataka,Rabi,86,38,42,24.669445380091844,58.35519152695847,6.50723499472047,414,chickpea,50,900
Karnataka,Rabi,93,37,40,24.228872780916404,60.685430584419045,6.971553922629435,443,kidneybeans,60,1200
Karnataka,Rabi,85,42,39,22.705819651060906,58.08549056285939,6.618597557924691,358,pigeonpeas,55,1100
Karnataka,Rabi,85,37,44,24.271240579792803,58.21275139411227,6.869369078877539,495,mothbeans,45,700
Karnataka,Rabi,86,37,44,23.959395559297953,59.78891181802745,6.554265087125992,387,mungbean,70,850
Karnataka,Rabi,92,42,36,24.309621448957216,63.647842941423974,6.442106542358218,510,blackgram,60,800
Karnataka,Rabi,86,34,40,24.7968662189979,60.59136544480024,6.811274148881902,372,lentil,54,950
Karnataka,Rabi,85,35,39,22.642384945457728,57.1147443093576,6.645984027915817,510,pomegranate,80,18000
Karnataka,Rabi,88,35,42,23.443893367396587,58.03963707061591,6.450688211512345,439,banana,10,30000
Karnataka,Rabi,83,37,41,24.994171508274498,61.56634152421374,6.511684984624805,371,mango,40,9000
Karnataka,Rabi,90,34,36,24.41002440878,59.548152468535754,6.606317349728507,491,grapes,50,22000
Karnataka,Rabi,86,42,42,24.10286848001671,59.67774164488866,6.643361767595697,464,watermelon,15,25000
Karnataka,Rabi,93,42,42,23.67693795833379,61.045097326519866,6.557057463784032,546,muskmelon,18,20000
Karnataka,Rabi,87,40,37,23.36289598447881,57.0588885302308,6.9514583613236285,510,apple,60,12000
Karnataka,Rabi,83,41,44,23.868956044961077,62.805747987369095,6.554759068073644,545,orange,25,15000
Karnataka,Rabi,84,36,36,23.889599341396448,64.32627895516485,6.510976502892848,414,papaya,12,40000
Karnataka,Rabi,88,42,37,25.258190843263538,55.107217773688006,6.666296789690236,458,coconut,35,12000
Karnataka,Rabi,88,36,40,23.184451873791566,64.75302133863828,6.412722563550224,462,cotton,75,1500
Karnataka,Rabi,86,38,42,22.59975911506717,58.01758948507384,6.938643473905256,461,jute,45,2200
Karnataka,Rabi,87,42,42,25.079201932899714,58.2542819624175,6.799772133853952,423,coffee,120,800
Karnataka,Summer,80,37,42,32.84937304168214,71.86039478384838,6.433880306779851,322,rice,22,2600
Karnataka,Summer,77,36,40,33.227692157613774,64.12154017006456,6.873439054457216,221,maize,20,3000
Karnataka,Summer,80,34,39,31.638989198424476,66.84670226765567,6.543053563171289,289,chickpea,50,900
Karnataka,Summer,83,36,36,33.47318867995609,67.26525115595443,6.623478473393955,306,kidneybeans,60,1200
Karnataka,Summer,83,32,35,32.11554211396713,65.27509466393849,6.591980056970819,231,pigeonpeas,55,1100
Karnataka,Summer,78,39,37,33.70022081334064,64.36004522116697,6.768395061560758,269,mothbeans,45,700
Karnataka,Summer,77,37,34,31.785505736495786,63.380962902292865,6.639320584469792,275,mungbean,70,850
Karnataka,Summer,79,40,41,33.01154951494112,66.9189438238152,6.784334655039936,261,blackgram,60,800
Karnataka,Summer,83,34,37,33.752296775892425,69.20741654678015,6.378712374121453,365,lentil,54,950
Karnataka,Summer,79,38,38,32.66164089166317,71.72322220260186,6.350671624186466,338,pomegranate,80,18000
Karnataka,Summer,86,35,37,32.766880674927954,64.28239214247743,6.567804824806159,253,banana,10,30000
Karnataka,Summer,81,32,37,32.89003468313379,69.25106403978,6.5539318785157015,371,mango,40,9000
Karnataka,Summer,80,34,34,32.15879830262906,65.87251004048134,6.8567688825695825,336,grapes,50,22000
Karnataka,Summer,77,33,36,34.05399388284059,65.21363147446628,6.426956713947581,356,watermelon,15,25000
Karnataka,Summer,84,35,36,33.89590311153563,64.62281714445396,6.632667666701115,363,muskmelon,18,20000
Karnataka,Summer,81,33,35,33.25776150928091,64.31858471498829,6.369344739385925,324,apple,60,12000
Karnataka,Summer,79,40,41,32.5108154739766,68.10769972764616,6.805841464575713,269,orange,25,15000
Karnataka,Summer,80,33,35,32.974995837603466,71.11122570403033,6.357702003058602,395,papaya,12,40000
Karnataka,Summer,84,35,35,32.75436827817739,63.62737546411732,6.889590784747001,261,coconut,35,12000
Karnataka,Summer,78,32,39,33.81967857763125,67.88408907987385,6.565418292967196,237,cotton,75,1500
Karnataka,Summer,81,40,39,31.839861528668987,65.82183042864425,6.426361027958873,283,jute,45,2200
Karnataka,Summer,79,36,37,33.89120048213435,72.2431768137601,6.349656420359733,215,coffee,120,800
